# name	country	resolved domain -- written by resolve_vendors.py
10 Bottle Value	Latvia	10bottlevalue.co
Peptidology	United States	peptidology.co
Peptime	United States	peptime.com
Peptira	United States	peptira.com
Peptuvia	United States	peptuvia.com
Performance Peptides Canada	Canada	redfoxpeptides.is
Pharma Grade Peptides	United States	pharmagradepeptides.is
Phoenix Pharmaceuticals	United States	phoenixpeptide.com
Pinnacle Peptide Labs	United States	pinnaclepeptidelabs.com
Pivot Labs Global	United States	pivot-labs-global.tenereteam.com
Planet Peptide	United States	planetpeptide.com
Platinum Cryo	United States	platinumcryo.io
Platinum Lion Peptides	United States	platinumlionpeptides.com
Polaris Peptides	United States	polarispeptides.com
Polygon Peptides	United Kingdom	peptides866.com
Precision Peptide Co	United States	precisionresearchlabs.com
Prime Peptides	United States	primepeptides.co
Protide Health	United States	protidehealth.com
Pura Peptides	United States	purapeptides.com
Puratek Peptides	United States	puratekpeptides.com
Pure Health Peptides	United States	purehealthpeptides.com
Pure Lab Peptides	United States	purelabpeptides.com
Pure Peptides	United States	purepeptides.com
Pure Peptides UK	United Kingdom	purepeptidesuk.com
Pure Rawz	United States	purerawz.co
PurePEPS	United States	purepeps.com
PureRawz	United States	purerawz.co
Purity Peptides	Canada	puritypeptides.is
RUO	United States	ruo.bio
Raven's Nest	United States	ravensnest.com.au
Raw Amino	United States	rawamino.com
Real Peptides	United States	realpeptides.co
Regenerative Research	United States	regenerativeresearch.co
Reinvention Compounds	United States	reinventioncompounds.com
Rescue Research	United States	researchgate.net
Research Peptides UK	United Kingdom	peptidesuk.com
Restore Peptides	United States	restorepeptides.io
RetaOne	United States	retaonelabs.com
Royal Peptides	United States	royal-peptides.com
SIMPLE PEPTIDE	United States	simplepeptide.com
Silverback Peptides	Australia	b2bpeptides.com
Skye Peptides	United States	skyepeptides.com
Solyn	United States	solyn.com
SomaChems	United States	somachems.com
Sports Technology Labs	United States	sportstechnologylabs.com
Suaway Lab Research	United States	suaway.com
Swiss Chems	United States	swisschems.is
Tide Labs	United Kingdom	nuevotidelabs.com
Titan Peptide Lab	United States	titanpeptidelab.com
Trusted Peptide	United States	trustedpeptideusa.com
UK Peptides	United Kingdom	uk-peptides.com
UMBRELLA LABS	United States	umbrellalabs.is
USA Made Research Peptides	United States	usmaderesearchpeptides.com
UWA Elite Peptides	United States	peptides806.com
Valor Peptides	United States	valorpeptides.com
Veltrix Peptides	China	veltrixpeptides.com
Verified Peptides	United States	verifiedpeptides.com
Verified Pure Peptides	United States	verifiedpeptidesuk.co.uk
Vicorpus	Australia	vicorpus.com
Virtus Peptides	United States	virtuspeptides.com
Warrior Makers	United States	warrior-makers.com
Welli Labs	United States	wellilabs.com
Wholesale Peptide	United States	wholesalepeptide.com
Wholesale Peptides	United Kingdom	wholesalepeptidesupply.com
WllyBIO	United States	wllybio.com
XL Peptides	United Kingdom	xlpeptides.com
XPeptides	Canada	xpeptides.com
Zesty Rat	United States	zestyratresearch.com
